"subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" 1 0.171375324359654 -0.0288085479272334 -0.0838487625714697 0.595783786435159 0.0761617070291066 0.115669553301729 0.103877811552161 0.00324321966570605 -0.0160001345113055 -0.0163162634224784 -0.0889577043051009 0.118630920464841 -0.092429700373804 -0.0515527525621902 -0.0600279427730202 -0.502439084351009 -0.502439084351009 -0.67267068564294 -0.581771088491729 -0.768713218360231 -0.631179225710086 -0.528239348199135 -0.642250622513833 -0.686910849012968 -0.648685647040346 -0.752259142756772 -0.676868631608646 -0.709122224223055 -0.643461154131988 -0.55594763342536 -0.646831999189914 -0.696124921807781 -0.784538669556196 -0.607619674388184 -0.473717865833833 -0.564566506951873 -0.848515935363112 -0.884600667409222 -0.844471037910663 -0.671862590294813 -0.63008345212853 -0.769857805028818 -0.723935876043228 -0.685360596670893 -0.644031171981556 -0.739861685613833 -0.788960856700288 -0.747731455276945 -0.52499161405245 -0.52499161405245 -0.654234069292507 -0.653687193861095 -0.782121807852738 -0.600111445215274 -0.482290247655908 -0.560877208880692 -0.686312881877522 -0.635495586757983 -0.786268427368876 -0.740855177581268 -0.676495397948127 -0.67908333857147 -0.588241276119597 -0.667255575411239 -0.688672322472334 -0.795216754317003
"2" 2 0.241101684771523 -0.0176712465355927 -0.109544403468212 0.684513990076159 -0.0128927892059603 0.0723604459580795 0.0659625820069536 0.0134496821522848 -0.00590541573983775 -0.035071061482351 -0.071559133179106 0.103141245717914 -0.0924738331066556 -0.059195162667351 -0.0710800367896689 -0.540390201557947 -0.540390201557947 -0.657093254852649 -0.602158712688808 -0.767835270783444 -0.626126961431788 -0.533745294273841 -0.659698777800331 -0.662151264629801 -0.629935628480464 -0.749500295874172 -0.670917098384106 -0.71457198334404 -0.646400751997781 -0.577826120460927 -0.624954220275166 -0.700334191178146 -0.785990206589404 -0.609577795144371 -0.503955524026159 -0.603567096986821 -0.954723062218543 -0.934109437847682 -0.92079906307947 -0.648479339380132 -0.60939226902947 -0.768173962712119 -0.721109022678808 -0.695516654610927 -0.65681544227649 -0.730285279981457 -0.794812010099338 -0.738453854762583 -0.580117547693046 -0.580117547693046 -0.63105150272649 -0.661600031225166 -0.781906891477152 -0.604491315543046 -0.521203606542053 -0.607038427081358 -0.666550525231126 -0.614394826916556 -0.785862083235099 -0.738928008764901 -0.689533027171192 -0.693792484769536 -0.648536959398013 -0.642369722486424 -0.696257399165563 -0.793010661807947
"3" 3 0.250552272463343 -0.0186786642159662 -0.109825561834311 0.664306067460411 -0.0121124378208211 0.0788814751198827 0.0910737008480938 0.0170084299889478 -0.000863929589736071 -0.0206434474688152 -0.0790985275401759 0.0857299550560543 -0.0861329795606158 -0.0518039688792786 -0.0765403122169795 -0.540077467226803 -0.540077467226803 -0.651962944747801 -0.597448405613079 -0.766798465196481 -0.625767603268035 -0.538667102927742 -0.663570467275953 -0.661553017365103 -0.636292683921114 -0.747897484199413 -0.679748306554252 -0.708224702985337 -0.636827910051613 -0.59249762103871 -0.629033357590323 -0.701229788768328 -0.784272998140762 -0.602418771381232 -0.508471547455044 -0.600875648191202 -0.964646755747801 -0.949875976885631 -0.932618564489736 -0.643197735213343 -0.614255371257481 -0.766349110393548 -0.727231694909091 -0.681568095956012 -0.64279177956305 -0.740398728697947 -0.790680431381232 -0.741972843508504 -0.593781050436305 -0.593781050436305 -0.638043974213196 -0.663656104152199 -0.784228146384164 -0.59473950521085 -0.525155347242229 -0.601221633021114 -0.656719768839589 -0.616636758785631 -0.783721038322581 -0.744260945134897 -0.671146251209677 -0.679253715152493 -0.65961773466129 -0.652870569169795 -0.698566671684751 -0.800070846909091
"4" 4 0.250705925488959 -0.0196404391481388 -0.110547437744479 0.691589101413249 -0.0218893504991798 0.0893643136964574 0.0888601999438486 0.0101814865846025 -0.00146660750509085 -0.0165993965412934 -0.0856919584988328 0.0893479632478549 -0.0841799805012618 -0.0528285468064669 -0.0719869557309148 -0.536807357829464 -0.536807357829464 -0.645149539158991 -0.590540938342902 -0.76292061035205 -0.610136898686751 -0.531418307963407 -0.668508751091483 -0.648966772803785 -0.624096902102208 -0.745248249397476 -0.657292753222713 -0.70608544975552 -0.63910384435836 -0.575066291066561 -0.614379864880442 -0.692849413424606 -0.78100160794164 -0.589125629658991 -0.503839769831546 -0.612234895761767 -0.966971371608833 -0.955569775362776 -0.940471169053628 -0.629975392195268 -0.603077571714804 -0.764683984214448 -0.708104950914827 -0.678727552808517 -0.650575867547003 -0.720905616173502 -0.790870946902208 -0.740120847242902 -0.583815400476341 -0.583815400476341 -0.620357382203344 -0.655797463473628 -0.778880844274448 -0.582246067847003 -0.521899959149685 -0.614848519827697 -0.643924504238486 -0.607612190127445 -0.783221373047319 -0.726105182274448 -0.668194250167823 -0.688629516820189 -0.654709302545741 -0.631989192344479 -0.692213441581388 -0.792788720801262
"5" 5 0.25440012615894 -0.0175534082037086 -0.109135166519868 0.66720390942053 -0.00119819840662252 0.0944437124071523 0.0862731083768212 -0.00519293930317881 -0.00915326857589735 -0.021068339586755 -0.0786255570374172 0.0876345574542715 -0.0916372773191391 -0.0562722707153974 -0.0686393510628477 -0.561031534501324 -0.561031534501324 -0.666781010559934 -0.607660345490066 -0.774650294784768 -0.63257494461755 -0.553314357822185 -0.67018147137053 -0.667320066263907 -0.647575731794838 -0.755799665927152 -0.678004618711921 -0.712844733264073 -0.642823421576159 -0.591643657442715 -0.637700015546358 -0.701758517667219 -0.789513419711921 -0.619335335224834 -0.523543580659868 -0.616381266761589 -0.970036478278146 -0.95483870397351 -0.940511263970199 -0.654281541084768 -0.629608755111589 -0.776178468130464 -0.721323188519868 -0.689477819625828 -0.645287500870199 -0.749233194941391 -0.796597033035762 -0.748532403443709 -0.59337815460596 -0.59337815460596 -0.644550060824834 -0.660977220689073 -0.789341217913907 -0.61542631195755 -0.539660299180795 -0.619620635381788 -0.672538188623179 -0.636137566201987 -0.795777893542715 -0.737159248697351 -0.680766155287748 -0.680603203766887 -0.659288555180132 -0.656717988125497 -0.694807483056291 -0.804946717847682
"6" 6 0.258166456338462 -0.0200367196208646 -0.110961706644308 0.705427915633846 -0.0263195759590769 0.0655610187492308 0.0672477548 0.0314435586516923 0.0126603916394154 -0.0169325632773077 -0.0930081274237846 0.0839465974897538 -0.0988882771929723 -0.0548555153467692 -0.0577838884654462 -0.520862915008523 -0.520862915008523 -0.624009922831477 -0.582458404846769 -0.743488442510769 -0.5989874313108 -0.509503593011077 -0.647981061824615 -0.633484614934462 -0.601508471972 -0.725794997430769 -0.647207786175385 -0.682987788621538 -0.626433532375385 -0.565582054484831 -0.595234133459077 -0.675434990850462 -0.761666930618462 -0.583137802991692 -0.483261784573231 -0.591795407326154 -0.967384884092308 -0.952627523569231 -0.938916805846154 -0.614363078015385 -0.579957791369846 -0.746302906793846 -0.703945530551385 -0.658685388676923 -0.639062618562461 -0.707378911424615 -0.769815280138154 -0.726838834673846 -0.574175281405538 -0.574175281405538 -0.602696908426154 -0.643943458016615 -0.760032394233846 -0.578438397647692 -0.504026926219538 -0.596639227757846 -0.629559058549538 -0.585637563459415 -0.765725531196923 -0.723755829107692 -0.650250211834154 -0.678505756269538 -0.647053452038154 -0.615975020731569 -0.687052423664615 -0.776002710990769
"7" 7 0.258663464967532 -0.0159280182159416 -0.107823759185065 0.673618356405844 0.00126952168187013 0.096985189558052 0.0882405062220779 0.0199824991813961 0.00526863044317208 -0.038995904356526 -0.0744882199676623 0.0861547415910065 -0.0844577691338636 -0.0501789985339286 -0.0552801164331818 -0.543839794704221 -0.543839794704221 -0.652950706688312 -0.60759289658961 -0.766817966288961 -0.624077400456169 -0.534176558937013 -0.657006929847403 -0.663131642212013 -0.632300646635714 -0.736972361081169 -0.683083432873701 -0.70502008266039 -0.641634582283442 -0.579542618997403 -0.61968193942987 -0.701078503467532 -0.778148337149351 -0.604023145811039 -0.504809819475 -0.601402168206494 -0.969763722922078 -0.956786940616883 -0.941593611006494 -0.645371570606169 -0.612489812964286 -0.755125558597403 -0.731864612302273 -0.684655070011688 -0.650785101831169 -0.741368172024351 -0.785258034701299 -0.742090021230844 -0.584406923594481 -0.584406923594481 -0.625023373506169 -0.669639915377597 -0.777552648961039 -0.597793841321429 -0.52206811549513 -0.605260753208442 -0.659271668763636 -0.617667503519708 -0.772198101171429 -0.748982270957792 -0.678220453507792 -0.687795399133117 -0.65317168982987 -0.635292235009091 -0.707615582082792 -0.793013086441558
"8" 8 0.26354911430605 -0.0197977821366548 -0.108606748743061 0.711733533274021 -0.0284646497882562 0.0856867540466904 0.0900238056003559 0.00239601479861566 -0.00745484363247687 -0.0239101912081851 -0.0784385677140569 0.0851922167686833 -0.0971218260724804 -0.0490866285658363 -0.0632392215204626 -0.571511755611943 -0.571511755611943 -0.671290333507473 -0.612792038384698 -0.77790546537758 -0.646385761170925 -0.562507162952313 -0.678434426483986 -0.678263475954448 -0.651226994604982 -0.760367771381851 -0.691142535747331 -0.719035788254093 -0.655255715918149 -0.616482465473096 -0.644368795490747 -0.712194321366904 -0.797180351491103 -0.633474649473061 -0.532890986352669 -0.619738225366548 -0.971881284341637 -0.962853326761566 -0.94592722480427 -0.663625327668043 -0.635005990676868 -0.778449106189324 -0.7287706626121 -0.689154363246263 -0.654054156921708 -0.753444901982206 -0.801210149156584 -0.753170847414626 -0.622409544478648 -0.622409544478648 -0.654808394185053 -0.6725894461879 -0.795064710668541 -0.629768748733096 -0.54819697516548 -0.620350809623132 -0.678892810567616 -0.642885750597865 -0.795352626900356 -0.742982714274021 -0.677030889622776 -0.687303134067616 -0.685596644474733 -0.671459438596085 -0.704823755042705 -0.807542828580071
"9" 9 0.262673651041667 -0.0188848646859375 -0.111006693285764 0.683946021722222 -0.0137467494357639 0.0649240342583681 0.0909086961486111 0.00587074108610764 -0.0100551830303819 -0.0269618975726736 -0.0805223839498264 0.0787224582094792 -0.0997785153930556 -0.0413386948868056 -0.0634370144572917 -0.531354345180208 -0.531354345180208 -0.638547784710417 -0.587653373451736 -0.758145791267361 -0.606094091421181 -0.526369326505903 -0.650828865979965 -0.639497385692361 -0.617463574445486 -0.733236014824653 -0.665215479256944 -0.699522667309028 -0.630271224189236 -0.574226513748958 -0.603577428753229 -0.696127683256944 -0.777868285451389 -0.590571121875347 -0.495109374842014 -0.593014822234722 -0.972144912291667 -0.95713709375 -0.946304371527778 -0.625165733064931 -0.597419380442361 -0.753940918776736 -0.710615698458333 -0.677824667325382 -0.623095689041667 -0.726626323125 -0.782511083125 -0.739728877625 -0.58078595865625 -0.58078595865625 -0.610719738729167 -0.658316944049306 -0.777295034010417 -0.585945392263958 -0.512251683687708 -0.596019701712153 -0.644550328771181 -0.6037491096125 -0.773709429334479 -0.726988526416667 -0.669850520777778 -0.657318460864583 -0.651058081197917 -0.623198044207639 -0.694329987510417 -0.792914061434028
"10" 10 0.26550358462585 -0.0191968480395405 -0.110274777832653 0.704976169517007 -0.0187908244108503 0.0771704180147041 0.0687295887727891 0.0182995517734864 0.0166889428945918 -0.0317283140162585 -0.0707784559432653 0.0931412474081973 -0.0935536318385714 -0.0508095279054422 -0.0486013047166667 -0.530471134104762 -0.530471134104762 -0.626070359159524 -0.581640574268367 -0.74243909707483 -0.604707532355034 -0.50920763215449 -0.646551106313946 -0.635517000597279 -0.601929866375068 -0.728656965571429 -0.643655969103741 -0.682246338377551 -0.622282495009524 -0.573783394403061 -0.594952190877551 -0.67471767952449 -0.760023044212245 -0.592460697392857 -0.483264015114966 -0.592761579951565 -0.973573465578231 -0.96016576914966 -0.950211048333333 -0.616084970969048 -0.578290441831633 -0.747455332996599 -0.695559512503401 -0.657870161712925 -0.634205212934694 -0.709304159469388 -0.765157689438775 -0.722260785197279 -0.586742972920986 -0.586742972920986 -0.600633658804082 -0.641292698354762 -0.756661679659524 -0.589241547235034 -0.50365061495102 -0.597857258819728 -0.630765385713946 -0.581491349472286 -0.764887414721088 -0.714021037036735 -0.649441868747959 -0.673801266517007 -0.659576160139116 -0.611240847153061 -0.682961445302721 -0.770162623495238
